,sequence
4GNE_3ASL,221.0
4GNE_3CH8,12.17
4GNE_3D9T,37.17
4GNE_3DIW,18.69
4GNE_3DRF,24.8
4GNE_3DRG,24.71
4GNE_3EMH,32.94
4GNE_3IQG,20.12
4GNE_3IVV,31.07
4GNE_3L3X,6.42
4GNE_3OBQ,12.48
4GNE_3R42,15.92
4GNE_3RYB,26.09
4GNE_3SO6,9.83
4GNE_3SOU,217.56
4GNE_3UPV,-27.75
4GNE_3UVK,21.06
4GNE_3UVM,20.07
4GNE_4AIF,-8.81
4GNE_4APO,-13.94
4GNE_4CC2,21.61
4GNE_4CY1,23.01
4GNE_4E3B,17.65
4GNE_4EQJ,20.29
4GNE_4ERY,20.3
4GNE_4EWR,29.85
4GNE_4F14,11.84
4GNE_4GNE,0.0
4GNE_4GQ6,2.62
4GNE_4H39,14.67
4GNE_4IKN,11.18
4GNE_4J73,27.83
4GNE_4J78,22.51
4GNE_4J81,21.12
4GNE_4JOE,20.83
4GNE_4K75,13.96
4GNE_4LN2,30.1
4GNE_4LNP,20.72
4GNE_4MDR,-14.81
4GNE_4NXQ,4.51
4GNE_4O36,-0.65
4GNE_4WYU,22.96
4GNE_4X3H,8.81
4GNE_4XHV,8.11
4GNE_4Y7R,-2.72
4GNE_4YSI,33.59
4GNE_4ZHL,38.77
4GNE_5A2J,12.89
4GNE_5CFA,13.12
4GNE_5E1D,36.73
4GNE_5E2Q,8.55
4GNE_5GP7,-11.08
4GNE_5GU4,25.54
4GNE_5HEB,43.11
4GNE_5HEY,37.08
4GNE_5WOU,8.31
4GNE_5XHZ,16.6
4GNE_5YGF,-7.39
4GNE_6CDG,29.66
4GNE_6EVN,-17.23
4GNE_6IM4,-2.81
4GQ6_1CKA,50.94
4GQ6_1D4T,71.36
4GQ6_1ELW,216.39
4GQ6_1FCH,217.81
4GQ6_1GWR,68.54
4GQ6_1JD5,32.87
4GQ6_1LB6,-22.98
4GQ6_1MF4,56.59
4GQ6_1MFG,14.05
4GQ6_1OAI,56.65
4GQ6_1T7R,85.68
4GQ6_1X2R,-43.55
4GQ6_1YWO,42.85
4GQ6_2HO2,52.95
4GQ6_2O9V,60.76
4GQ6_2OEI,49.43
4GQ6_2PEH,32.66
4GQ6_2PV1,62.19
4GQ6_2QBW,35.0
4GQ6_2WA8,76.53
4GQ6_2XRW,39.66
4GQ6_3ASL,6.26
4GQ6_3CH8,21.03
4GQ6_3D9T,19.64
4GQ6_3DIW,-5.08
4GQ6_3DRF,12.19
4GQ6_3DRG,3.37
4GQ6_3EMH,-9.49
4GQ6_3IQG,-16.65
4GQ6_3IVV,-0.01
4GQ6_3L3X,86.83
4GQ6_3OBQ,64.88
4GQ6_3R42,22.11
4GQ6_3RYB,0.31
4GQ6_3SO6,59.99
4GQ6_3SOU,15.01
4GQ6_3UPV,218.84
4GQ6_3UVK,19.99
4GQ6_3UVM,-64.49
4GQ6_4AIF,222.33
4GQ6_4APO,237.59
4GQ6_4CC2,42.02
4GQ6_4CY1,-22.25
4GQ6_4E3B,-9.77
4GQ6_4EQJ,35.6
4GQ6_4ERY,-72.0
4GQ6_4EWR,-13.83
4GQ6_4F14,18.9
4GQ6_4GNE,-6.26
4GQ6_4GQ6,0.0
4GQ6_4H39,54.04
4GQ6_4IKN,-13.41
4GQ6_4J73,-20.75
4GQ6_4J78,-82.6
4GQ6_4J81,-73.1
4GQ6_4JOE,26.68
4GQ6_4K75,38.68
4GQ6_4LN2,41.42
4GQ6_4LNP,62.86
4GQ6_4MDR,-38.31
4GQ6_4NXQ,58.11
4GQ6_4O36,18.19
4GQ6_4WYU,-7.59
4GQ6_4X3H,68.8
4GQ6_4XHV,69.55
4GQ6_4Y7R,-35.66
4GQ6_4YSI,23.99
4GQ6_4ZHL,-27.15
4GQ6_5A2J,12.54
4GQ6_5CFA,-100.53
4GQ6_5E1D,49.89
4GQ6_5E2Q,101.89
4GQ6_5GP7,74.23
4GQ6_5GU4,24.06
4GQ6_5HEB,79.6
4GQ6_5HEY,63.24
4GQ6_5WOU,49.08
4GQ6_5XHZ,32.18
4GQ6_5YGF,-1.26
4GQ6_6CDG,53.17
4GQ6_6EVN,104.08
4GQ6_6IM4,159.03
4H39_1CKA,56.13
4H39_1D4T,34.73
4H39_1ELW,77.45
4H39_1FCH,-39.81
4H39_1GWR,54.05
4H39_1JD5,16.1
4H39_1LB6,29.93
4H39_1MF4,57.53
4H39_1MFG,25.93
4H39_1OAI,39.46
4H39_1T7R,83.85
4H39_1X2R,-13.42
4H39_1YWO,49.07
4H39_2HO2,24.19
4H39_2O9V,51.58
4H39_2OEI,36.32
4H39_2PEH,58.11
4H39_2PV1,40.31
4H39_2QBW,80.62
4H39_2WA8,42.6
4H39_2XRW,2478.98
4H39_3ASL,38.91
4H39_3CH8,78.76
4H39_3D9T,3.09
4H39_3DIW,49.16
4H39_3DRF,71.29
4H39_3DRG,74.27
4H39_3EMH,116.13
4H39_3IQG,41.09
4H39_3IVV,0.94
4H39_3L3X,91.98
4H39_3OBQ,14.13
4H39_3R42,8.47
4H39_3RYB,66.04
4H39_3SO6,77.64
4H39_3SOU,45.5
4H39_3UPV,69.49
4H39_3UVK,79.72
4H39_3UVM,112.51
4H39_4AIF,71.54
4H39_4APO,69.33
4H39_4CC2,66.45
4H39_4CY1,126.88
4H39_4E3B,57.14
4H39_4EQJ,30.78
4H39_4ERY,118.36
4H39_4EWR,114.22
4H39_4F14,82.4
4H39_4GNE,37.99
4H39_4GQ6,65.0
4H39_4H39,0.0
4H39_4IKN,41.35
4H39_4J73,95.35
4H39_4J78,99.61
4H39_4J81,103.97
4H39_4JOE,57.82
4H39_4K75,64.66
4H39_4LN2,51.84
4H39_4LNP,56.08
4H39_4MDR,32.8
4H39_4NXQ,49.11
4H39_4O36,26.49
4H39_4WYU,-22.25
4H39_4X3H,42.24
4H39_4XHV,37.48
4H39_4Y7R,120.53
4H39_4YSI,31.87
4H39_4ZHL,60.82
4H39_5A2J,-18.87
4H39_5CFA,33.12
4H39_5E1D,79.55
4H39_5E2Q,85.88
4H39_5GP7,47.95
4H39_5GU4,26.73
4H39_5HEB,74.56
4H39_5HEY,68.52
4H39_5WOU,72.7
4H39_5XHZ,61.2
4H39_5YGF,47.38
4H39_6CDG,62.54
4H39_6EVN,65.82
4H39_6IM4,-0.14
4IKN_1CKA,32.98
4IKN_1D4T,28.1
4IKN_1ELW,-31.59
4IKN_1FCH,-111.58
4IKN_1GWR,-30.22
4IKN_1JD5,33.53
4IKN_1LB6,89.71
4IKN_1MF4,-12.47
4IKN_1MFG,29.66
4IKN_1OAI,6.26
4IKN_1T7R,-40.29
4IKN_1X2R,60.4
4IKN_1YWO,39.58
4IKN_2HO2,25.66
4IKN_2O9V,38.45
4IKN_2OEI,52.41
4IKN_2PEH,30.3
4IKN_2PV1,13.17
4IKN_2QBW,87.48
4IKN_2WA8,19.43
4IKN_2XRW,-57.57
4IKN_3ASL,19.16
4IKN_3CH8,117.12
4IKN_3D9T,18.71
4IKN_3DIW,56.52
4IKN_3DRF,75.67
4IKN_3DRG,90.74
4IKN_3EMH,74.91
4IKN_3IQG,-15.56
4IKN_3IVV,89.89
4IKN_3L3X,-7.57
4IKN_3OBQ,36.99
4IKN_3R42,13.67
4IKN_3RYB,60.58
4IKN_3SO6,54.46
4IKN_3SOU,21.64
4IKN_3UPV,-18.97
4IKN_3UVK,51.4
4IKN_3UVM,70.18
4IKN_4AIF,-55.47
4IKN_4APO,-84.29
4IKN_4CC2,37.31
4IKN_4CY1,74.49
4IKN_4E3B,11.9
4IKN_4EQJ,78.85
4IKN_4ERY,92.42
4IKN_4EWR,62.17
4IKN_4F14,51.79
4IKN_4GNE,28.3
4IKN_4GQ6,-26.1
4IKN_4H39,45.48
4IKN_4IKN,0.0
4IKN_4J73,74.48
4IKN_4J78,79.7
4IKN_4J81,70.86
4IKN_4JOE,37.24
4IKN_4K75,36.58
4IKN_4LN2,41.49
4IKN_4LNP,20.87
4IKN_4MDR,853.14
4IKN_4NXQ,48.44
4IKN_4O36,5.26
4IKN_4WYU,12.2
4IKN_4X3H,20.89
4IKN_4XHV,20.77
4IKN_4Y7R,93.69
4IKN_4YSI,83.36
4IKN_4ZHL,13.21
4IKN_5A2J,69.63
4IKN_5CFA,194.92
4IKN_5E1D,40.06
4IKN_5E2Q,5.79
4IKN_5GP7,12.64
4IKN_5GU4,46.54
4IKN_5HEB,64.86
4IKN_5HEY,67.0
4IKN_5WOU,25.66
4IKN_5XHZ,39.5
4IKN_5YGF,47.1
4IKN_6CDG,68.89
4IKN_6EVN,-8.03
4IKN_6IM4,-70.87
4J73_1CKA,72.24
4J73_1D4T,36.44
4J73_1ELW,-31.34
4J73_1FCH,-144.83
4J73_1GWR,-70.1
4J73_1JD5,58.38
4J73_1LB6,40.8
4J73_1MF4,-8.26
4J73_1MFG,42.87
4J73_1OAI,44.42
4J73_1T7R,-34.89
4J73_1X2R,416.25
4J73_1YWO,63.14
4J73_2HO2,73.22
4J73_2O9V,67.34
4J73_2OEI,70.4
4J73_2PEH,40.52
4J73_2PV1,85.03
4J73_2QBW,35.19
4J73_2WA8,35.68
4J73_2XRW,89.43
4J73_3ASL,24.8
4J73_3CH8,57.15
4J73_3D9T,31.75
4J73_3DIW,6.2
4J73_3DRF,44.32
4J73_3DRG,27.03
4J73_3EMH,1383.88
4J73_3IQG,-8.94
4J73_3IVV,77.78
4J73_3L3X,-35.42
4J73_3OBQ,16.18
4J73_3R42,-0.83
4J73_3RYB,41.85
4J73_3SO6,85.18
4J73_3SOU,25.23
4J73_3UPV,-70.14
4J73_3UVK,1350.98
4J73_3UVM,1400.37
4J73_4AIF,-82.43
4J73_4APO,-76.0
4J73_4CC2,71.25
4J73_4CY1,1408.37
4J73_4E3B,13.42
4J73_4EQJ,43.13
4J73_4ERY,1406.36
4J73_4EWR,1393.48
4J73_4F14,63.24
4J73_4GNE,27.83
4J73_4GQ6,-14.99
4J73_4H39,121.68
4J73_4IKN,62.78
4J73_4J73,0.0
4J73_4J78,3049.71
4J73_4J81,3058.16
4J73_4JOE,-8.3
4J73_4K75,9.19
4J73_4LN2,56.31
4J73_4LNP,60.83
4J73_4MDR,50.96
4J73_4NXQ,69.95
4J73_4O36,-2.87
4J73_4WYU,23.37
4J73_4X3H,19.2
4J73_4XHV,35.95
4J73_4Y7R,1410.26
4J73_4YSI,49.05
4J73_4ZHL,94.36
4J73_5A2J,83.84
4J73_5CFA,91.07
4J73_5E1D,7.92
4J73_5E2Q,-13.23
4J73_5GP7,-21.08
4J73_5GU4,25.94
4J73_5HEB,41.41
4J73_5HEY,45.79
4J73_5WOU,42.12
4J73_5XHZ,80.95
4J73_5YGF,58.92
4J73_6CDG,100.8
4J73_6EVN,-48.42
4J73_6IM4,-130.92
4J78_1CKA,69.28
4J78_1D4T,59.75
4J78_1ELW,-19.48
4J78_1FCH,-133.48
4J78_1GWR,-105.37
4J78_1JD5,62.14
4J78_1LB6,66.68
4J78_1MF4,42.79
4J78_1MFG,19.62
4J78_1OAI,41.08
4J78_1T7R,-39.31
4J78_1X2R,416.37
4J78_1YWO,54.55
4J78_2HO2,73.9
4J78_2O9V,63.79
4J78_2OEI,81.5
4J78_2PEH,34.91
4J78_2PV1,79.07
4J78_2QBW,20.0
4J78_2WA8,37.1
4J78_2XRW,123.94
4J78_3ASL,36.69
4J78_3CH8,55.65
4J78_3D9T,59.19
4J78_3DIW,30.44
4J78_3DRF,32.0
4J78_3DRG,37.5
4J78_3EMH,1448.22
4J78_3IQG,-12.76
4J78_3IVV,55.04
4J78_3L3X,-42.66
4J78_3OBQ,16.65
4J78_3R42,2.84
4J78_3RYB,73.95
4J78_3SO6,108.02
4J78_3SOU,35.88
4J78_3UPV,-84.53
4J78_3UVK,1388.83
4J78_3UVM,1435.78
4J78_4AIF,-72.17
4J78_4APO,-72.72
4J78_4CC2,65.61
4J78_4CY1,1434.43
4J78_4E3B,44.73
4J78_4EQJ,55.28
4J78_4ERY,1431.92
4J78_4EWR,1443.27
4J78_4F14,59.73
4J78_4GNE,25.57
4J78_4GQ6,20.75
4J78_4H39,126.06
4J78_4IKN,78.45
4J78_4J73,3049.71
4J78_4J78,0.0
4J78_4J81,3185.32
4J78_4JOE,5.13
4J78_4K75,20.71
4J78_4LN2,67.1
4J78_4LNP,77.32
4J78_4MDR,73.2
4J78_4NXQ,24.09
4J78_4O36,3.32
4J78_4WYU,29.75
4J78_4X3H,-4.21
4J78_4XHV,48.86
4J78_4Y7R,1441.91
4J78_4YSI,48.0
4J78_4ZHL,90.57
4J78_5A2J,55.11
4J78_5CFA,78.93
4J78_5E1D,18.45
4J78_5E2Q,-25.51
4J78_5GP7,-26.78
4J78_5GU4,37.84
4J78_5HEB,31.2
4J78_5HEY,42.05
4J78_5WOU,31.98
4J78_5XHZ,48.49
4J78_5YGF,95.04
4J78_6CDG,65.42
4J78_6EVN,-29.3
4J78_6IM4,-113.71
4J81_1CKA,63.4
4J81_1D4T,46.63
4J81_1ELW,-43.41
4J81_1FCH,-143.92
4J81_1GWR,-48.49
4J81_1JD5,51.88
4J81_1LB6,47.27
4J81_1MF4,-11.78
4J81_1MFG,42.21
4J81_1OAI,31.11
4J81_1T7R,-67.7
4J81_1X2R,430.81
4J81_1YWO,53.9
4J81_2HO2,74.7
4J81_2O9V,61.38
4J81_2OEI,78.9
4J81_2PEH,33.93
4J81_2PV1,82.68
4J81_2QBW,82.68
4J81_2WA8,41.66
4J81_2XRW,109.45
4J81_3ASL,41.51
4J81_3CH8,65.88
4J81_3D9T,30.45
4J81_3DIW,31.48
4J81_3DRF,32.05
4J81_3DRG,26.69
4J81_3EMH,1446.24
4J81_3IQG,16.35
4J81_3IVV,55.71
4J81_3L3X,-76.08
4J81_3OBQ,3.65
4J81_3R42,-1.29
4J81_3RYB,54.93
4J81_3SO6,105.45
4J81_3SOU,22.09
4J81_3UPV,-65.78
4J81_3UVK,1410.73
4J81_3UVM,1452.94
4J81_4AIF,-83.9
4J81_4APO,-53.22
4J81_4CC2,66.45
4J81_4CY1,1450.98
4J81_4E3B,13.1
4J81_4EQJ,26.89
4J81_4ERY,1453.65
4J81_4EWR,1441.25
4J81_4F14,59.83
4J81_4GNE,23.23
4J81_4GQ6,-11.9
4J81_4H39,107.28
4J81_4IKN,70.86
4J81_4J73,3058.16
4J81_4J78,3185.32
4J81_4J81,0.0
4J81_4JOE,23.84
4J81_4K75,20.17
4J81_4LN2,67.83
4J81_4LNP,79.09
4J81_4MDR,69.02
4J81_4NXQ,26.88
4J81_4O36,4.01
4J81_4WYU,12.07
4J81_4X3H,-9.77
4J81_4XHV,17.89
4J81_4Y7R,1452.38
4J81_4YSI,49.32
4J81_4ZHL,90.4
4J81_5A2J,80.77
4J81_5CFA,61.94
4J81_5E1D,-0.88
4J81_5E2Q,-21.66
4J81_5GP7,-16.02
4J81_5GU4,7.65
4J81_5HEB,21.36
4J81_5HEY,36.96
4J81_5WOU,12.22
4J81_5XHZ,75.82
4J81_5YGF,58.0
4J81_6CDG,56.47
4J81_6EVN,-13.04
4J81_6IM4,-115.7
4JOE_1CKA,50.72
4JOE_1D4T,36.81
4JOE_1ELW,18.72
4JOE_1FCH,25.68
4JOE_1GWR,29.0
4JOE_1JD5,39.38
4JOE_1LB6,38.31
4JOE_1MF4,11.99
4JOE_1MFG,412.29
4JOE_1OAI,-11.57
4JOE_1T7R,17.95
4JOE_1X2R,16.61
4JOE_1YWO,39.1
4JOE_2HO2,19.68
4JOE_2O9V,46.97
4JOE_2OEI,22.51
4JOE_2PEH,58.91
4JOE_2PV1,-22.45
4JOE_2QBW,379.57
4JOE_2WA8,50.64
4JOE_2XRW,59.32
4JOE_3ASL,-3.28
4JOE_3CH8,361.97
4JOE_3D9T,2.86
4JOE_3DIW,403.87
4JOE_3DRF,52.04
4JOE_3DRG,43.06
4JOE_3EMH,15.01
4JOE_3IQG,17.46
4JOE_3IVV,44.79
4JOE_3L3X,17.6
4JOE_3OBQ,44.57
4JOE_3R42,46.82
4JOE_3RYB,49.64
4JOE_3SO6,43.57
4JOE_3SOU,27.39
4JOE_3UPV,7.83
4JOE_3UVK,-2.1
4JOE_3UVM,8.44
4JOE_4AIF,6.92
4JOE_4APO,2.98
4JOE_4CC2,32.44
4JOE_4CY1,18.05
4JOE_4E3B,407.64
4JOE_4EQJ,56.54
4JOE_4ERY,31.39
4JOE_4EWR,49.18
4JOE_4F14,50.12
4JOE_4GNE,19.72
4JOE_4GQ6,26.68
4JOE_4H39,57.82
4JOE_4IKN,37.24
4JOE_4J73,3.32
4JOE_4J78,-4.55
4JOE_4J81,16.66
4JOE_4JOE,0.0
4JOE_4K75,808.67
4JOE_4LN2,47.09
4JOE_4LNP,50.39
4JOE_4MDR,28.28
4JOE_4NXQ,243.38
4JOE_4O36,18.02
4JOE_4WYU,436.75
4JOE_4X3H,9.61
4JOE_4XHV,404.08
4JOE_4Y7R,11.54
4JOE_4YSI,60.58
4JOE_4ZHL,37.48
4JOE_5A2J,29.47
4JOE_5CFA,38.77
4JOE_5E1D,84.39
4JOE_5E2Q,19.81
4JOE_5GP7,14.96
4JOE_5GU4,37.78
4JOE_5HEB,496.95
4JOE_5HEY,475.23
4JOE_5WOU,415.68
4JOE_5XHZ,63.77
4JOE_5YGF,19.4
4JOE_6CDG,61.42
4JOE_6EVN,4.15
4JOE_6IM4,3.44
4K75_1CKA,55.18
4K75_1D4T,35.0
4K75_1ELW,4.58
4K75_1FCH,24.98
4K75_1GWR,19.3
4K75_1JD5,30.07
4K75_1LB6,33.86
4K75_1MF4,15.65
4K75_1MFG,397.85
4K75_1OAI,-8.53
4K75_1T7R,17.84
4K75_1X2R,43.59
4K75_1YWO,49.95
4K75_2HO2,20.87
4K75_2O9V,58.59
4K75_2OEI,9.36
4K75_2PEH,61.24
4K75_2PV1,17.27
4K75_2QBW,367.48
4K75_2WA8,47.41
4K75_2XRW,65.89
4K75_3ASL,10.17
4K75_3CH8,355.02
4K75_3D9T,15.6
4K75_3DIW,405.33
4K75_3DRF,-2.44
4K75_3DRG,45.79
4K75_3EMH,9.57
4K75_3IQG,22.03
4K75_3IVV,44.31
4K75_3L3X,17.5
4K75_3OBQ,30.72
4K75_3R42,53.44
4K75_3RYB,32.71
4K75_3SO6,38.23
4K75_3SOU,6.61
4K75_3UPV,6.78
4K75_3UVK,11.06
4K75_3UVM,11.2
4K75_4AIF,20.59
4K75_4APO,8.22
4K75_4CC2,55.84
4K75_4CY1,17.95
4K75_4E3B,401.72
4K75_4EQJ,59.55
4K75_4ERY,12.98
4K75_4EWR,12.46
4K75_4F14,50.1
4K75_4GNE,30.0
4K75_4GQ6,37.59
4K75_4H39,64.66
4K75_4IKN,36.58
4K75_4J73,42.49
4K75_4J78,2.88
4K75_4J81,20.59
4K75_4JOE,808.67
4K75_4K75,0.0
4K75_4LN2,58.12
4K75_4LNP,60.91
4K75_4MDR,33.97
4K75_4NXQ,257.94
4K75_4O36,19.48
4K75_4WYU,433.14
4K75_4X3H,9.0
4K75_4XHV,397.97
4K75_4Y7R,12.82
4K75_4YSI,57.19
4K75_4ZHL,43.63
4K75_5A2J,27.8
4K75_5CFA,25.22
4K75_5E1D,86.15
4K75_5E2Q,18.8
4K75_5GP7,24.97
4K75_5GU4,20.07
4K75_5HEB,468.4
4K75_5HEY,449.71
4K75_5WOU,418.21
4K75_5XHZ,80.43
4K75_5YGF,38.31
4K75_6CDG,44.61
4K75_6EVN,23.57
4K75_6IM4,4.27
4LN2_1CKA,301.72
4LN2_1D4T,42.66
4LN2_1ELW,-26.78
4LN2_1FCH,1.51
4LN2_1GWR,38.87
4LN2_1JD5,20.4
4LN2_1LB6,22.61
4LN2_1MF4,31.2
4LN2_1MFG,54.89
4LN2_1OAI,-10.6
4LN2_1T7R,26.2
4LN2_1X2R,48.54
4LN2_1YWO,237.96
4LN2_2HO2,31.69
4LN2_2O9V,608.16
4LN2_2OEI,34.26
4LN2_2PEH,50.84
4LN2_2PV1,20.56
4LN2_2QBW,57.07
4LN2_2WA8,48.02
4LN2_2XRW,50.16
4LN2_3ASL,41.31
4LN2_3CH8,50.04
4LN2_3D9T,11.61
4LN2_3DIW,59.43
4LN2_3DRF,43.59
4LN2_3DRG,21.02
4LN2_3EMH,48.94
4LN2_3IQG,43.53
4LN2_3IVV,37.74
4LN2_3L3X,19.41
4LN2_3OBQ,40.31
4LN2_3R42,30.41
4LN2_3RYB,43.84
4LN2_3SO6,65.2
4LN2_3SOU,42.28
4LN2_3UPV,-28.93
4LN2_3UVK,50.65
4LN2_3UVM,46.87
4LN2_4AIF,6.94
4LN2_4APO,-1.24
4LN2_4CC2,266.56
4LN2_4CY1,27.69
4LN2_4E3B,51.73
4LN2_4EQJ,37.8
4LN2_4ERY,49.77
4LN2_4EWR,48.98
4LN2_4F14,286.93
4LN2_4GNE,29.91
4LN2_4GQ6,47.83
4LN2_4H39,51.84
4LN2_4IKN,41.76
4LN2_4J73,66.65
4LN2_4J78,55.48
4LN2_4J81,56.02
4LN2_4JOE,49.22
4LN2_4K75,58.12
4LN2_4LN2,0.0
4LN2_4LNP,364.31
4LN2_4MDR,50.44
4LN2_4NXQ,69.21
4LN2_4O36,0.03
4LN2_4WYU,50.95
4LN2_4X3H,9.95
4LN2_4XHV,59.79
4LN2_4Y7R,46.2
4LN2_4YSI,35.04
4LN2_4ZHL,53.55
4LN2_5A2J,24.67
4LN2_5CFA,33.99
4LN2_5E1D,20.93
4LN2_5E2Q,41.5
4LN2_5GP7,6.99
4LN2_5GU4,62.61
4LN2_5HEB,57.94
4LN2_5HEY,63.18
4LN2_5WOU,48.7
4LN2_5XHZ,267.44
4LN2_5YGF,83.86
4LN2_6CDG,56.88
4LN2_6EVN,-5.02
4LN2_6IM4,-5.4
4LNP_1CKA,329.64
4LNP_1D4T,37.94
4LNP_1ELW,-17.46
4LNP_1FCH,-8.05
4LNP_1GWR,6.08
4LNP_1JD5,31.63
4LNP_1LB6,35.99
4LNP_1MF4,15.36
4LNP_1MFG,62.99
4LNP_1OAI,1.19
4LNP_1T7R,-7.54
4LNP_1X2R,40.31
4LNP_1YWO,277.24
4LNP_2HO2,37.38
4LNP_2O9V,355.15
4LNP_2OEI,41.74
4LNP_2PEH,28.67
4LNP_2PV1,47.57
4LNP_2QBW,62.05
4LNP_2WA8,4.39
4LNP_2XRW,64.96
4LNP_3ASL,32.65
4LNP_3CH8,59.81
4LNP_3D9T,13.36
4LNP_3DIW,60.39
4LNP_3DRF,38.89
4LNP_3DRG,25.76
4LNP_3EMH,64.16
4LNP_3IQG,58.57
4LNP_3IVV,33.66
4LNP_3L3X,18.21
4LNP_3OBQ,46.97
4LNP_3R42,33.19
4LNP_3RYB,15.49
4LNP_3SO6,44.28
4LNP_3SOU,30.1
4LNP_3UPV,-24.0
4LNP_3UVK,66.86
4LNP_3UVM,59.65
4LNP_4AIF,-0.59
4LNP_4APO,-19.51
4LNP_4CC2,273.71
4LNP_4CY1,54.46
4LNP_4E3B,56.4
4LNP_4EQJ,52.32
4LNP_4ERY,58.68
4LNP_4EWR,60.13
4LNP_4F14,286.66
4LNP_4GNE,20.72
4LNP_4GQ6,62.86
4LNP_4H39,56.08
4LNP_4IKN,22.6
4LNP_4J73,60.83
4LNP_4J78,77.32
4LNP_4J81,79.09
4LNP_4JOE,50.39
4LNP_4K75,60.91
4LNP_4LN2,364.31
4LNP_4LNP,0.0
4LNP_4MDR,54.96
4LNP_4NXQ,59.08
4LNP_4O36,-0.12
4LNP_4WYU,51.89
4LNP_4X3H,14.35
4LNP_4XHV,58.35
4LNP_4Y7R,57.14
4LNP_4YSI,16.5
4LNP_4ZHL,52.48
4LNP_5A2J,-2.07
4LNP_5CFA,40.27
4LNP_5E1D,32.8
4LNP_5E2Q,33.36
4LNP_5GP7,21.52
4LNP_5GU4,46.38
4LNP_5HEB,61.89
4LNP_5HEY,64.94
4LNP_5WOU,51.44
4LNP_5XHZ,327.99
4LNP_5YGF,88.46
4LNP_6CDG,64.86
4LNP_6EVN,-19.93
4LNP_6IM4,15.56
4MDR_1CKA,44.23
4MDR_1D4T,38.51
4MDR_1ELW,-67.8
4MDR_1FCH,-74.79
4MDR_1GWR,-58.79
4MDR_1JD5,12.08
4MDR_1LB6,106.07
4MDR_1MF4,25.66
4MDR_1MFG,59.05
4MDR_1OAI,6.58
4MDR_1T7R,-52.18
4MDR_1X2R,76.9
4MDR_1YWO,44.28
4MDR_2HO2,42.95
4MDR_2O9V,18.81
4MDR_2OEI,45.53
4MDR_2PEH,60.05
4MDR_2PV1,47.09
4MDR_2QBW,102.14
4MDR_2WA8,28.2
4MDR_2XRW,36.99
4MDR_3ASL,34.57
4MDR_3CH8,109.91
4MDR_3D9T,14.49
4MDR_3DIW,76.64
4MDR_3DRF,87.79
4MDR_3DRG,114.27
4MDR_3EMH,72.52
4MDR_3IQG,23.99
4MDR_3IVV,109.3
4MDR_3L3X,-97.78
4MDR_3OBQ,7.77
4MDR_3R42,59.03
4MDR_3RYB,97.76
4MDR_3SO6,19.71
4MDR_3SOU,34.1
4MDR_3UPV,-43.6
4MDR_3UVK,83.74
4MDR_3UVM,82.54
4MDR_4AIF,-82.68
4MDR_4APO,-78.17
4MDR_4CC2,47.15
4MDR_4CY1,66.4
4MDR_4E3B,81.39
4MDR_4EQJ,69.95
4MDR_4ERY,64.45
4MDR_4EWR,55.43
4MDR_4F14,26.3
4MDR_4GNE,26.62
4MDR_4GQ6,-38.31
4MDR_4H39,31.93
4MDR_4IKN,853.14
4MDR_4J73,83.5
4MDR_4J78,71.91
4MDR_4J81,69.02
4MDR_4JOE,28.28
4MDR_4K75,33.97
4MDR_4LN2,50.44
4MDR_4LNP,55.31
4MDR_4MDR,0.0
4MDR_4NXQ,43.41
4MDR_4O36,-8.18
4MDR_4WYU,58.06
4MDR_4X3H,18.35
4MDR_4XHV,62.52
4MDR_4Y7R,64.06
4MDR_4YSI,107.49
4MDR_4ZHL,75.68
4MDR_5A2J,109.99
4MDR_5CFA,202.08
4MDR_5E1D,10.98
4MDR_5E2Q,13.66
4MDR_5GP7,-35.2
4MDR_5GU4,6.39
4MDR_5HEB,24.22
4MDR_5HEY,27.61
4MDR_5WOU,30.22
4MDR_5XHZ,38.59
4MDR_5YGF,32.14
4MDR_6CDG,120.98
4MDR_6EVN,-33.61
4MDR_6IM4,-91.37
4NXQ_1CKA,64.06
4NXQ_1D4T,51.96
4NXQ_1ELW,12.01
4NXQ_1FCH,10.09
4NXQ_1GWR,9.87
4NXQ_1JD5,30.21
4NXQ_1LB6,40.33
4NXQ_1MF4,18.22
4NXQ_1MFG,320.19
4NXQ_1OAI,-19.99
4NXQ_1T7R,6.68
4NXQ_1X2R,41.52
4NXQ_1YWO,45.14
4NXQ_2HO2,44.02
4NXQ_2O9V,65.02
4NXQ_2OEI,48.12
4NXQ_2PEH,40.39
4NXQ_2PV1,16.16
4NXQ_2QBW,280.91
4NXQ_2WA8,33.91
4NXQ_2XRW,74.37
4NXQ_3ASL,12.21
4NXQ_3CH8,274.46
4NXQ_3D9T,-7.43
4NXQ_3DIW,351.93
4NXQ_3DRF,31.36
4NXQ_3DRG,41.78
4NXQ_3EMH,18.91
4NXQ_3IQG,13.83
4NXQ_3IVV,82.5
4NXQ_3L3X,-4.87
4NXQ_3OBQ,46.26
4NXQ_3R42,69.13
4NXQ_3RYB,39.36
4NXQ_3SO6,23.81
4NXQ_3SOU,14.33
4NXQ_3UPV,2.54
4NXQ_3UVK,32.71
4NXQ_3UVM,46.26
4NXQ_4AIF,-27.17
4NXQ_4APO,-24.95
4NXQ_4CC2,67.87
4NXQ_4CY1,30.92
4NXQ_4E3B,345.29
4NXQ_4EQJ,40.39
